daily_demand,invoice_year,invoice_month,invoice_day,weekend,festive_month,holidays,weekday,quarter,service_type_enc
5,2017,1,6,1,0,0,5,1,2
3,2017,1,6,1,0,0,5,1,11
1,2017,1,6,1,0,0,5,1,46
1,2017,1,6,1,0,0,5,1,61
5,2017,1,6,1,0,0,5,1,76
1,2017,1,6,1,0,0,5,1,117
1,2017,1,6,1,0,0,5,1,120
1,2017,1,6,1,0,0,5,1,124
1,2017,1,6,1,0,0,5,1,140
7,2017,1,6,1,0,0,5,1,148
2,2017,1,6,1,0,0,5,1,171
1,2017,1,6,1,0,0,5,1,172
1,2017,1,6,1,0,0,5,1,174
1,2017,1,6,1,0,0,5,1,176
2,2017,1,6,1,0,0,5,1,209
1,2017,1,6,1,0,0,5,1,227
1,2017,1,6,1,0,0,5,1,237
1,2017,1,6,1,0,0,5,1,392
1,2017,1,6,1,0,0,5,1,441
1,2017,1,6,1,0,0,5,1,444
1,2017,1,6,1,0,0,5,1,467
3,2017,1,7,1,0,0,6,1,2
7,2017,1,7,1,0,0,6,1,11
1,2017,1,7,1,0,0,6,1,38
1,2017,1,7,1,0,0,6,1,44
2,2017,1,7,1,0,0,6,1,46
9,2017,1,7,1,0,0,6,1,76
1,2017,1,7,1,0,0,6,1,77
2,2017,1,7,1,0,0,6,1,79
3,2017,1,7,1,0,0,6,1,80
1,2017,1,7,1,0,0,6,1,92
1,2017,1,7,1,0,0,6,1,106
3,2017,1,7,1,0,0,6,1,108
7,2017,1,7,1,0,0,6,1,125
2,2017,1,7,1,0,0,6,1,128
1,2017,1,7,1,0,0,6,1,131
1,2017,1,7,1,0,0,6,1,133
12,2017,1,7,1,0,0,6,1,148
2,2017,1,7,1,0,0,6,1,166
1,2017,1,7,1,0,0,6,1,204
9,2017,1,7,1,0,0,6,1,209
2,2017,1,7,1,0,0,6,1,257
1,2017,1,7,1,0,0,6,1,258
1,2017,1,7,1,0,0,6,1,301
1,2017,1,7,1,0,0,6,1,302
4,2017,1,7,1,0,0,6,1,318
1,2017,1,7,1,0,0,6,1,330
2,2017,1,7,1,0,0,6,1,346
1,2017,1,7,1,0,0,6,1,407
1,2017,1,7,1,0,0,6,1,427
1,2017,1,7,1,0,0,6,1,437
1,2017,1,7,1,0,0,6,1,438
1,2017,1,7,1,0,0,6,1,445
1,2017,1,7,1,0,0,6,1,467
2,2017,1,7,1,0,0,6,1,483
2,2017,1,8,0,0,0,7,1,2
3,2017,1,8,0,0,0,7,1,10
1,2017,1,8,0,0,0,7,1,55
1,2017,1,8,0,0,0,7,1,67
1,2017,1,8,0,0,0,7,1,71
7,2017,1,8,0,0,0,7,1,76
1,2017,1,8,0,0,0,7,1,77
