Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
32,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,10,3,4,55,3,2,4,1,No,12,4,10,2,2,10,7,0,8,No,3
47,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,14,4,4,42,3,2,1,2,No,12,4,20,2,3,7,7,1,7,No,3
40,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,4,4,48,2,3,1,5,Yes,21,3,20,2,3,18,13,1,12,No,4
41,Male,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,10,4,2,73,2,5,4,3,No,15,2,23,2,2,21,6,12,6,No,3
60,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16,4,1,84,3,2,1,8,No,14,4,10,1,3,2,2,2,2,No,3
27,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,10,2,4,32,3,3,1,1,No,21,3,9,4,2,9,7,1,7,No,4
50,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,8,4,4,54,3,1,2,7,No,15,4,4,2,3,2,2,2,2,No,3
28,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,2,1,67,1,1,2,7,Yes,13,4,10,4,3,7,7,3,7,Yes,3
36,Female,Life Sciences,Married,Development,Developer,Non-Travel,8,3,1,63,4,3,1,9,No,14,1,10,2,3,8,7,0,5,No,3
38,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,3,3,81,3,3,3,4,Yes,14,4,10,4,4,1,0,0,0,No,3
44,Male,Medical,Single,Development,Developer,Non-Travel,24,3,1,49,1,1,3,2,No,14,3,9,5,3,5,2,1,4,No,3
47,Female,Medical,Divorced,Sales,Sales Executive,Travel_Frequently,3,3,4,49,3,4,3,9,Yes,12,4,28,2,2,22,2,11,13,No,3
30,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,27,5,3,99,3,2,4,7,No,23,4,10,2,2,8,7,7,7,No,4
29,Male,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,10,3,3,99,3,1,3,1,No,11,3,1,6,3,1,0,0,0,No,3
42,Male,Medical,Divorced,Development,Developer,Travel_Frequently,19,3,3,57,4,1,3,6,Yes,12,4,7,2,3,2,2,2,2,Yes,3
34,Female,Medical,Single,Development,Developer,Travel_Rarely,8,2,2,96,3,2,3,3,No,11,4,10,2,3,5,1,4,3,No,3
39,Female,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,3,3,3,44,4,2,2,9,No,15,3,12,3,1,8,3,3,6,No,3
56,Male,Medical,Married,Development,Developer,Travel_Rarely,9,3,3,81,3,4,4,7,No,11,3,30,1,2,10,7,1,1,No,3
40,Female,Medical,Single,Development,Developer,Travel_Rarely,2,1,4,86,2,1,4,0,Yes,20,4,5,2,2,4,2,2,3,No,4
27,Female,Medical,Single,Development,Developer,Travel_Rarely,7,3,4,55,2,2,1,8,No,19,1,9,2,1,7,6,0,7,No,3
29,Male,Marketing,Divorced,Sales,Sales Representative,Travel_Rarely,10,3,4,83,3,1,2,1,No,14,4,2,2,3,2,2,2,2,No,3
53,Male,Life Sciences,Single,Development,Developer,Travel_Rarely,6,3,4,86,3,2,4,2,No,17,4,19,4,3,2,2,2,2,No,3
35,Female,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,2,4,4,61,3,2,1,2,No,11,1,16,2,4,1,0,0,0,No,3
32,Male,Life Sciences,Married,Development,Developer,Travel_Frequently,24,4,1,80,3,2,4,1,No,15,4,10,2,3,10,8,4,7,No,3
34,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,8,5,2,32,3,2,1,3,No,14,3,7,3,3,0,0,0,0,No,3
52,Male,Marketing,Married,Sales,Manager,Travel_Rarely,3,4,3,31,2,4,1,1,No,11,1,34,3,4,34,6,1,16,No,4
33,Male,Other,Single,Development,Developer,Travel_Rarely,1,4,4,63,3,1,4,1,Yes,13,3,10,2,2,10,9,7,8,Yes,3
25,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,26,1,3,32,3,2,4,1,No,23,2,6,5,2,6,5,1,4,No,4
45,Male,Technical Degree,Single,Sales,Sales Representative,Travel_Rarely,2,2,2,46,1,2,3,0,No,13,1,9,3,3,8,7,3,1,No,3
23,Male,Medical,Single,Development,Developer,Travel_Rarely,10,1,1,79,4,1,3,1,No,18,4,2,3,3,2,2,0,2,No,3
47,Female,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,27,2,2,77,4,2,3,4,Yes,12,4,8,2,3,5,4,1,3,Yes,3
34,Male,Other,Single,Sales,Sales Executive,Travel_Rarely,2,3,4,60,3,2,4,1,No,22,3,6,5,3,6,5,1,4,No,4
36,Male,Life Sciences,Single,Sales,Sales Executive,Non-Travel,8,4,1,76,2,3,1,1,No,15,2,10,1,3,10,7,0,9,No,3
52,Male,Medical,Married,Development,Developer,Non-Travel,19,4,4,41,3,1,4,0,No,18,1,5,3,3,4,3,1,2,No,3
26,Female,Life Sciences,Divorced,Development,Developer,Travel_Frequently,1,2,1,71,1,1,4,3,No,14,1,5,2,3,2,2,2,0,No,3
29,Female,Medical,Married,Development,Developer,Travel_Rarely,27,3,2,66,3,2,3,4,No,12,1,11,3,2,8,7,1,1,No,3
26,Male,Technical Degree,Single,Sales,Sales Executive,Travel_Rarely,8,3,4,38,2,2,1,6,No,17,3,6,2,2,4,3,1,2,Yes,3
34,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,4,2,72,4,1,4,2,No,16,3,10,2,3,4,2,1,3,No,3
54,Female,Medical,Divorced,Development,Developer,Travel_Rarely,19,4,4,95,3,2,1,9,Yes,11,2,9,4,3,5,3,1,4,No,3
27,Male,Marketing,Married,Sales,Sales Executive,Travel_Frequently,8,1,3,84,3,2,4,0,No,19,2,5,3,3,4,2,1,1,No,3
37,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,10,1,4,82,3,1,1,0,Yes,13,2,6,3,2,5,3,4,3,No,3
38,Female,Life Sciences,Single,Development,Developer,Travel_Frequently,2,4,1,75,4,2,1,6,Yes,12,4,17,2,3,15,7,4,12,No,3
